材料,酶活,底物,pH,温度(℃),指标,等级,tier,文献数,倍数,疑因标签,逐条取值(DOI=值),人工复核结论,复核备注
v2o5,peroxidase,H2O2,7.4,25.0,km_mm,严重,3,2,3.57,跨文献,10.1016/j.ica.2018.09.045=0.04 | 10.1016/j.ica.2018.09.045=0.04 | 10.1002/anie.201800681=0.0444 | 10.1002/anie.201800681=0.0573 | 10.1002/anie.201800681=0.0925 | 10.1002/anie.201800681=0.143,,
fe3o4,peroxidase,TMB,4.0,30.0,vmax_um_s,严重,3,2,3179487.18,跨文献,10.1002/smll.202105673=0.124 | na-1456=3.9e-08,,
fe3o4,peroxidase,ABTS,4.0,25.0,kcat_s,严重,3,2,1400000.0,跨文献,10.1016/j.biomaterials.2009.05.005=2.5e-05 | 10.1021/jacs.7b00601=35.0,,
fe3o4,peroxidase,TMB,3.6,37.0,kcat_s,严重,3,2,3913485.09,跨文献,10.1038/s41596-018-0001-1=311904.7619 | 10.1038/s41929-021-00609-x=0.0797,,
fe3o4,peroxidase,TMB,4.0,25.0,kcat_s,严重,3,2,355000.0,跨文献,10.1016/j.biomaterials.2009.05.005=2e-05 | 10.1021/jacs.7b00601=7.1,,
nico2o4,oxidase,TMB,4.0,37.0,vmax_um_s,严重,3,2,3881881881.88,跨文献,10.1016/j.aca.2016.11.035=0.009989999999999999 | 10.1016/j.jhazmat.2020.123939=38780000.0,,
nico2o4,peroxidase,H2O2,4.0,37.0,vmax_um_s,严重,3,2,111350619.2,跨文献,10.1016/j.aca.2016.11.035=0.2584 | 10.1016/j.jhazmat.2020.123939=28773000.0,,
nico2o4,peroxidase,TMB,4.0,37.0,vmax_um_s,严重,3,2,2693882141.25,跨文献,10.1016/j.aca.2016.11.035=0.02223 | 10.1016/j.jhazmat.2020.123939=59885000.0,,
nico2s4,peroxidase,TMB,4.0,30.0,vmax_um_s,严重,3,2,1000000.0,跨文献,10.1016/j.talanta.2021.122337=0.041 | na-1457=4.0999999999999997e-08,,
ceo2,peroxidase,TMB,4.0,25.0,kcat_s,严重,3,2,6060.61,跨文献,10.1039/c9nr05346h=0.16 | 10.1038/srep35344=2.64e-05,,
pd,peroxidase,H2O2,4.0,25.0,vmax_um_s,严重,3,2,2200.0,跨文献,10.1002/adfm.201801484=0.0018 | 10.1021/acsanm.8b00578=3.96,,
nico2o4,oxidase,TMB,4.0,37.0,km_mm,严重,3,2,1270.0,跨文献,10.1016/j.aca.2016.11.035=0.127 | 10.1016/j.jhazmat.2020.123939=0.0001,,
nico2o4,peroxidase,TMB,4.0,37.0,km_mm,严重,3,2,710.0,跨文献,10.1016/j.aca.2016.11.035=0.142 | 10.1016/j.jhazmat.2020.123939=0.0002,,
cuo,peroxidase,H2O2,4.0,36.0,km_mm,严重,3,2,455.56,跨文献,10.1021/acssuschemeng.1c00723=0.09 | 10.1039/c2an35072f=41.0,,
nico2o4,peroxidase,H2O2,4.0,37.0,km_mm,严重,3,2,332.37,跨文献,10.1016/j.aca.2016.11.035=9.406 | 10.1016/j.jhazmat.2020.123939=0.0283,,
mvcm,oxidase,TMB,4.0,25.0,km_mm,严重,3,2,276.78,跨文献,10.1039/c4cc10346g=0.00037 | 10.1039/c4cc10346g=0.00037 | 10.1039/c9tb01515a=0.10241 | 10.1039/c9tb01515a=0.10241,,
